tectonic.setting,rock.type,SIO2,TIO2,AL2O3,CAO,MGO,MNO,K2O,NA2O,P2O5,SC,V,CR,CO,NI,RB,SR,Y,ZR,LA,CE,ND,SM,EU,YB,LU,HF,TH
Rift,Rhyolite,68.3,0.36,10.3,0.35,0.12,0.19,4.9,3.37,0.03,1.4,8,2,10,10,137,10,87,699,102,224,88,19.1,2.61,10.7,1.16,20.7,NA
Intraplate,Dacite,63.92,0.22,17.32,2.82,1.08,0.13,1.92,6.21,0.15,1.36,15,2,5,NA,38,681,18,151,43.8,67.2,25.8,3.66,1.08,2.2,0.4,3.56,4.92
Intraplate,Dacite,71.2,0.34,15.98,1.01,0.45,0.03,1,7.27,0.07,10.5,8.87,2.13,1.76,2.32,30.2,89.1,15.73,363,125,265,81,10.2,1.28,1.48,0.23,9.3,24
Convergent margin,Dacite,64.49,0.5,17.49,4.19,1.13,0.09,3.81,4.05,0.11,11.71,54.76,2.29,7.1,4.77,107.5,350.3,31.13,274.6,27.56,55.56,25.33,5.22,1.2,2.98,0.5,7,12.68
Intraplate,Rhyolite,70.85,0.63,12.98,0.98,0.27,0.03,4.72,2.86,0.12,10.14,8.78,2.31,3.15,3.34,112.8,98,51.37,483.7,90.1,176.7,85.79,13.05,2.34,5.4,0.8,12.88,12.99
Intraplate,Rhyolite,79.9,0.1,10.2,0.26,0.04,0.01,4.13,1.61,0.06,2.19,8.92,2.46,1.02,2.22,200,44.7,12.2,106,36.4,67.3,26.6,5.12,0.48,1.23,0.18,4.16,20.8
Cont flood Basalt,Rhyolite,76.03,0.23,11.57,0.36,0.09,0.06,5.38,3.4,0.03,2,4.5,2.5,0.5,3.5,161.2,12.1,99,569,111,233,103.6,21.27,1.13,9.39,1.36,16.81,20.02
Archean craton,Basalt,53.7,1.39,11.17,3.66,5.21,0.2,0.45,1.52,0.19,20.5,62,2.5,NA,2.5,11,44,33,145,11.5,27.3,16.7,4.01,0.99,3.27,0.47,3.28,4.7
Convergent margin,Dacite,66.01,0.43,13.98,3.46,1.21,0.08,3.18,3.73,0.05,11.27132042,71.9137147,2.609908916,7.647144756,2.463439008,105.2719904,254.3753204,21.40378462,179.7952882,35.83695143,61.79725782,21.28112184,3.954937921,0.883262369,2.511870831,0.396499902,4.665049795,16.40699763
Intraplate,Rhyolite,75.1,0.14,13.87,1.17,0.31,0.01,2.97,4.83,0.03,0.94,23.7,2.64,2,1.31,28.3,275.4,1.69,62.5,12.1,15,3.3,0.4,1.16,0.11,0.02,1.74,0.2
Intraplate,Dacite,64.12,0.42,15.97,3.1,1.17,0.1,2.27,3.8,0.18,3.81,NA,2.74,5.56,1.92,35.28,572,14.88,92.96,27.45,47.32,22.09,3.43,1.06,1.98,0.28,2.83,5.93
Convergent margin,Dacite,64.9,0.5,15.6,3.7,0.8,0.2,1.8,2.9,0.18,19,NA,3,10,4,34,185,43,156,13.26,29.64,20.48,5.67,1.43,4.83,0.71,4.33,1.8
Intraplate,Dacite,66.72,0.67,15.72,3.88,1.23,0.1,3.94,3.38,0.22,13.1,53.4,3,7.1,NA,150,474,30.2,212,42.1,88.5,46,7.68,1.71,2.87,0.42,5.83,11.1
Convergent margin,Rhyolite,72.11,0.35,14.44,2.2,0.51,0.07,2.67,4.15,0.07,4.8,20,3,3,2,82.1,125,23.5,177,16.2,32.46,14.22,3.08,0.81,2.51,0.41,4.29,7.08
Convergent margin,Dacite,64.33,1.09,15.38,3.27,1.25,0.14,2.96,5.46,0.36,15,62,3,6.7,10,79.4,297,40.8,360,34,76.3,37.3,7.76,1.74,4.36,0.64,7.7,9.7
Intraplate,Dacite,66.91,0.28,14.06,1.65,2.56,0.1,0.56,5.02,0.06,23,148,3,12,3,NA,116,16,43,4.28,9.11,5.03,1.47,0.44,1.95,0.32,1.35,1.53
Convergent margin,Andesite,62.93,0.92,16.01,3.5,1.25,0.18,2.77,5.63,0.39,17.2,15,3,5.7,10,77.8,392,42.3,302,35.1,78.6,40.2,8.49,2.3,4.32,0.66,7.2,11.5
Archean craton,Basalt,50.73,2.26,12.74,7.29,3.1,0.28,0.46,3.16,0.35,33,112,3,46,2,15,103,60,197,14.72,34.27,25.38,2.32,NA,5.63,0.92,5.85,1.76
Archean craton,Andesite,55.7,1.8,13.28,7.1,3.81,0.23,0.39,2.3,0.19,40,403,3,27,9,12,80,61,209,17.2,42.1,27.9,7.52,1.77,6.39,1.05,5.8,1.9
Convergent margin,Dacite,63.74,1.01,15.77,3.99,1.15,0.15,1.67,4.67,0.35,17.2,27,3,15.3,0.9,26,301,179,186,18.1,49.9,50.2,17.6,6.01,16.8,2.635,4.77,1.433
Archean craton,Rhyolite,75.77,0.12,14.35,0.83,0.5,0.02,2.3,5.11,0.03,1,3,3,2,2,31.34,170,5,89,16.85,30.42,9.76,1.51,0.3,0.47,0.07,2.7,6.57
Intraplate,Dacite,62.2,0.27,13.6,3.47,3.37,0.15,0.55,3.63,0.06,24,113,3,14,3,NA,118,14,39,3.63,7.48,4.25,1.27,0.36,1.71,0.29,1.25,1.42
Rift,Dacite,65.58,0.58,15.8,4.12,1.25,0.07,1.94,4.59,0.21,NA,60,3,7,5,49,522,20.5,206,24.5,48.5,18.5,4,1,2.1,0.3,6,2
Convergent margin,Dacite,64.57,1.08,15.6,3.31,1.22,0.12,2.99,5.2,0.33,17.1,60,3,7.7,8,81.7,305,40.9,369,33.6,78,35.4,7.61,1.95,4.25,0.62,8.8,11
Archean craton,Basalt,55.5,1.48,12.69,6.57,3.45,0.22,0.55,2.67,0.27,29,157,3,48,9,10,147,57,178,19.2,45.13,27.34,2.21,NA,6.3,0.9,4.97,2.18
Convergent margin,Dacite,64.32,1.12,15.41,3.3,1.23,0.14,2.96,5.41,0.35,16.6,52,3,7.5,8,81.8,306,41.1,373,35.2,74.9,34.5,7.1,1.99,4.23,0.65,8.4,10.5
Convergent margin,Andesite,57.95,0.51,18.17,7.3,2.86,0.2,0.66,3.35,0.25,12.351,72.841,3.065,13.433,1.425,12.339,627.757,19.312,53.054,10.864,25.339,14.764,3.608,1.164,1.948,0.311,1.563,0.76
Cont flood Basalt,Rhyolite,75.76,0.22,11.58,0.29,0.11,0.05,5.35,3.27,0.01,0.5,4.1,3.1,NA,4.8,165,12.9,100,575,99,215,96.6,19.87,1.05,8.89,1.28,16.32,19.28
Seamount,Dacite,67.3,0.94,14.52,3.23,1.06,0.15,2.23,4.12,0.18,12.3,NA,3.17,6.91,0.9,43.3,190,39.1,169,14.8,34,22,5.72,1.64,4.88,0.75,5.64,3.24
Convergent margin,Dacite,65.34,0.6,14.12,5.87,1.54,0.19,1.13,3.06,0.19,26.6,86.7,3.25,13.6,2.27,15.4,288,23.1,44.8,4.14,10,7.98,2.5,0.801,2.34,0.369,1.29,0.458
Convergent margin,Dacite,52.8058445,0.895704313,12.56881608,1.95101681,1.411777843,0.101931657,0.12059866,7.468177689,0.928399286,19.05876163,26.71477221,3.492060013,8.327429562,2.348973727,1.108855115,23.50486429,29.59071784,88.60768375,5.049804496,12.94484393,11.13417922,3.469212905,1.314930077,2.805214836,0.443119403,2.252026796,0.360882597
Convergent margin,Andesite,68.1,0.47,14.6,2.23,0.83,0.05,2.48,4.98,0.11,6.6,32.5,3.5,3.2,3.2,49.6,373,22.2,240.4,19.33,40.99,21.01,4.15,1.05,2.23,0.36,6.15,4.95
Convergent margin,Dacite,64.03,0.65,15.56,5.58,1.66,0.11,1.02,3.72,0.15,21.3,168.8,3.5,15.2,3.1,17.3,140,32.8,92.9,6.24,11.8,9.64,2.92,0.9,3.06,0.5,2.72,0.74
Convergent margin,Dacite,64.08,0.65,15.6,5.55,1.59,0.11,1.03,3.79,0.14,22.1,175.4,3.7,15.7,0.6,17.7,141,43.1,93.9,8.39,12.9,12.84,3.87,1.13,3.84,0.63,2.82,0.77
Convergent margin,Dacite,62.37,0.92,15.64,4.79,1.92,0.16,2.57,4.78,0.36,17.3,108.39,3.7,36.84,3.02,28.86,345.6,35.73,141.44,11.4,27.54,19.16,5.14,1.53,3.61,0.55,3.68,1.77
Convergent margin,Dacite,70.88,0.35,14.68,1.32,0.54,0.06,5.43,3.49,0.09,9.6,60.7,3.76,4.86,2.24,165,496,29,378.4,24,54.92,27.76,5.74,0.6,3.66,0.59,11.88,24.71
Convergent margin,Dacite,62.87,0.91,15.64,4.61,1.85,0.17,2.59,4.66,0.36,17.88,107.14,3.79,8.97,2.45,32.8,339.35,37.58,140.66,13.89,31.96,21.17,5.46,1.6,3.71,0.57,3.67,1.823
Convergent margin,Andesite,65.75,0.63,15.86,3.36,1.45,0.09,3.26,4.66,0.16,9.9,52,4,8.7,11,111.8,314,20,246,22.7,51.8,22.7,4.37,0.92,2.08,0.34,6.1,14
Convergent margin,Dacite,65.74,0.638,15.25,3.86,1.03,0.187,2.02,4.74,0.212,19.8,26.1,4,10.8,2.98,38.7,288,47,159,16,33.5,22.4,6.04,1.73,4.85,0.783,4.29,2.48
Convergent margin,Rhyolite,73.69,0.293,14.12,1.99,0.34,0.066,2.82,4.08,0.04,6,13,4,3,6,100,141,30.2,234,22,49.6,21.5,4.85,0.99,3.33,0.5,6.06,10
Convergent margin,Rhyolite,76.7,0.15,11.55,0.69,0.07,0.04,2.8,4.18,0.01,4,11,4,0,3,71.6,95,59,280,48,113,62,13.94,1.73,5.98,0.92,6.76,13.13
Seamount,Dacite,67.49,0.43,13.74,3.77,1.2,0.16,1.12,4.64,0.08,13.7,57.7,4,15.6,15.7,19.5,111.9,26.2,94,7.15,17.8,11.49,3.03,0.82,2.84,0.48,2.91,1.81
