tectonic.setting,rock.type,SIO2,TIO2,AL2O3,CAO,MGO,MNO,K2O,NA2O,P2O5,SC,V,CR,CO,NI,RB,SR,Y,ZR,LA,CE,ND,SM,EU,YB,LU,HF,TH
Convergent margin,Dacite,62.31,0.47,16.97,2.93,1.84,0.34,4.85,0.16,0.25,5.4,22,67,5.3,4,169,89,28,192,27.1,54.2,28.3,5.24,1.41,3.06,0.49,4.65,4.35
Intraplate,Basalt,52.36,3.02,13.34,7.71,4.27,0.3,0.37,2.35,0.22,43,317,67,40,196,8,112,72,244,15.4,42,29.4,8.62,2.44,6.85,1.06,6.6,1.55
Convergent margin,Andesite,53.76,0.42,18.67,9.34,5.7,0.15,0.3,2.37,0.06,3.1,201,67,29,28,4.6,196,13,36,1.52,4.32,3.96,1.34,0.54,1.35,0.21,0.97,0.12
Intraplate,Dacite,65.75,0.42,15.43,3.37,1.54,0.05,3.12,4.34,0.16,10.2,58.7,67.3,NA,55.6,97.6,918,10,268,61.5,102,40.4,5.9,1.5,0.8,0.14,8.3,18.1
Intraplate,Dacite,63.77,0.84,14.54,1.9,2.56,0.09,2.76,1.77,0.18,NA,107,68,25,30,122,122,33,280,39.79,81.65,38.77,8.25,0.71,3.07,0.45,7.41,14.93
Archean craton,Dacite,68.2,0.53,13,5.65,1.62,0.09,1.34,3.5,0.14,11,66,68,14,30,36.2,160,23,205,27,56.2,24.1,4.4,0.98,2,0.32,3.3,6.5
Intraplate,Andesite,54.96,0.83,16.9,7.38,3.51,0.15,1.77,3.65,0.25,19,175,69,39,21,48,696,29,165,37.8,61,31,5.69,1.6,2.52,0.4,3.7,8.9
Intraplate,Dacite,66.7,0.78,15,0.37,2.34,0.04,5.87,0.96,0.09,10.2,64.8,69.1,17.7,22.2,175,75.7,17.6,114,45.6,84.8,33.8,5.58,1.04,1.49,0.27,2.52,17.8
Intraplate,Dacite,63.64,0.64,14.6,1.91,3.59,0.04,3.14,4.33,0.34,22,168,70,NA,18,39,300,20,117,10.8,31.8,18.1,4.9,1.43,1.93,0.3,3.37,2.58
Intraplate,Dacite,67.6,0.76,14.8,0.53,2.54,0.05,5.68,1.06,0.09,11.3,62.4,70.5,16.2,24.9,198,62.2,19.4,129,51.3,91.8,83.5,12.3,1.35,1.57,0.24,3.37,19.9
Ocean island,Basalt,47.7,1.5,16.4,10.7,4.6,0.2,0.3,2.9,0.4,32,240,71,NA,278,4.5,288,28.6,167,13,32.2,17.2,4.41,1.52,2.5,0.36,3.87,1.44
Backarc basin,Basalt,53.61,1.01,16.71,10.13,5.59,0.14,1.05,2.6,0.23,35.4,279,72,27.4,33,24.3,378,24.1,78.6,9.41,23.28,13.72,3.71,1.25,2.31,0.36,2.03,1.89
Convergent margin,Andesite,53.61,1.06,18.04,8.12,4.51,0.23,1.49,3.33,0.32,25.8,243,72,45,20,21,500,28.5,147,14.9,33.3,17.9,4.34,1.24,2.24,0.32,3.92,3.33
Backarc basin,Basalt,53.01,1.02,17.04,10.3,5.8,0.14,1.04,2.67,0.23,34.9,275,72,26.9,33,23.8,376,23.9,76.7,9.19,22.75,13.52,3.68,1.23,2.27,0.35,1.97,1.89
Intraplate,Dacite,63.13,0.64,15,3.87,3.12,0.04,2.1,4.16,0.36,15,98,73,16,40,71,421,27,156,19.6,39.7,20.2,4.27,1.04,2.14,0.34,3.91,6.9
Convergent margin,Dacite,62.25,0.81,16.74,1.46,2.31,0.07,3.44,2.42,0.2,15,70,73.1,13.5,22.5,126.7,167.6,16.7,169.3,34.4,64.2,29.5,5.4,1.4,1.6,0.3,4.6,6.7
Intraplate,Dacite,62.33,0.56,15.05,5.37,3.83,0.09,2.8,3.2,0.21,12.5,106,74,10.2,35.3,109.8,610.4,22,128.1,45.6,83.81,33.33,5.62,1.35,2.01,0.32,2.44,21.31
Backarc basin,Basalt,55.91,1.63,15.9,7.63,4.12,0.16,0.72,3.41,0.27,28.3,337,74,28.2,50,8.77,207,39.9,150.1,11.12,26.98,17.11,4.97,1.65,3.86,0.59,3.63,1.2
Convergent margin,Rhyolite,71.7,0.275,15.4,0.68,0.17,0.037,3.95,3.03,0.058,25.37,225,75,24,16,34.4,761.4,20,67,16,33.7,21.4,4.79,1.39,1.88,0.29,1.9,4
Cont flood Basalt,Andesite,54.04,1.15,16.69,7.41,4.99,0.13,1.28,3.54,0.27,19,172,75,42,39,22,541,22,176,17.6,36.8,NA,4.01,1.26,2.04,0.32,3.16,4.14
Convergent margin,Dacite,66.25,0.75,13.9,5.39,2.01,0.08,2.26,0.86,0.138,NA,107,75,19,29,108,201,30,216,36.6,75.6,33.1,6.19,1.2,2.61,0.368,5.4,11.9
Cont flood Basalt,Basalt,49.4,1.74,15.2,11.3,6.5,0.2,0.23,2.24,0.16,39,359,76,49,77,1.9,177,28,99,7,18.4,12.2,3.6,1.17,2.28,0.32,2.8,0.69
Convergent margin,Andesite,54.41,0.88,15.89,9.47,5.31,0.14,0.58,3.39,0.27,32.6,283,76.3,32.5,49.7,6.87,476,21.4,108,17.2,33.1,14.8,2.96,0.944,1.83,0.28,2.11,2.3
Convergent margin,Andesite,54.39,1.18,17.6,8.83,4.76,0.14,2.17,3.35,0.46,23.2,227.1,76.5,26.24,38.7,57.7,818,26.8,230.8,49.24,100.8,45.17,7.93,2.14,2.26,0.352,5.24,9.56
Intraplate,Dacite,65.91,0.89,14.56,3.35,0.91,0.06,3.84,3.52,0.14,17.5,50.1,76.6,6.38,34.7,128,242,39.6,344,23,50.7,26.6,6.3,1.59,3.75,0.624,7.32,7.56
Convergent margin,Andesite,51.4,0.96,16.76,9.32,5.46,0.34,0.21,2.61,0.11,36.7,357,76.8,22.9,41.6,1.24,123,27.2,35.7,1.7,5.39,6.01,2.31,0.91,2.66,0.397,1.15,0.146
Convergent margin,Andesite,54.09,1.15,17.72,8.83,4.75,0.13,2.2,3.4,0.45,23.17,224.4,76.9,25.94,39.8,58.7,820.3,26.6,231.4,48.77,99.9,44.62,7.87,2.11,2.25,0.348,5.26,9.78
Archean craton,Basalt,50.2,1.22,14.4,12.4,4.9,0.26,0.4,2.4,0.11,44,344,77,52,69,9,203,30,99,5.5,14.7,10.4,3.53,1.18,3.23,0.5,2.33,0.516
Intraplate,Rhyolite,74.15,0.11,13.14,0.85,0.27,0.04,4.67,3.53,0.03,2.37,5.87,78.06,1.62,10.62,128,51,12.91,82,27.52,57.76,21.12,3.46,0.35,1.47,0.2,NA,20.59
Intraplate,Basalt,46.01,1.87,17.04,7.99,5.2,0.18,0.37,3.38,0.55,24.4,239,78.6,38.1,70.1,5.29,716,24.4,151,16.07,36.75,22.64,5.22,1.81,2.17,0.33,3.5,1
Convergent margin,Andesite,54.03,1.14,17.68,8.56,4.73,0.13,2.26,3.43,0.45,22.92,222.8,78.9,26.06,40.4,61.4,829.8,26.9,240.2,49.25,100.1,44.36,7.76,2.08,2.26,0.348,5.39,10.28
Convergent margin,Andesite,51.46,0.99,17.73,8.97,7.29,0.22,0.92,2.79,0.13,35.7,259,79,35,21,29.4,229,24,105,12.29,28.2,15.64,3.88,1.15,2.39,0.36,2.82,3.38
Cont flood Basalt,Basalt,48.52,1.48,17.59,9.91,7.38,0.16,0.21,2.78,0.2,28,270,81,46,51,NA,268,12,100,4.05,14.3,8.98,2.43,0.82,1.18,0.16,2.52,0.22
Archean craton,Andesite,55.44,0.81,12.98,6.75,4.9,0.42,2.12,3.32,0.1,37,220,81,74,80,72,107,24,88,17,34,19.04,3.81,1.14,2.4,0.34,2.69,5.23
Convergent margin,Andesite,51.4,1.19,14.53,11.08,7.06,0.19,0.06,2.39,0.09,43.9,388,81,46.4,54,1.58,83,32.7,65.4,2.15,6.82,7.33,2.62,1,3.29,0.52,1.95,0.155
Rift,Rhyolite,71.96,0.19,9.19,0.21,0.11,0.08,3.77,3.89,4.19,1,3,81,NA,2,230,5,163,1672,129,266,119,23,1.86,15.4,2.3,35,27
Intraplate,Andesite,56.5,0.63,17.4,6.95,4.22,0.12,1.49,4.86,0.16,24.2,136.8,81.7,33.3,33.5,67,633,18.2,89.8,17.7,37.5,19.9,3.49,0.98,1.82,0.29,2.3,1.71
Convergent margin,Dacite,64.2,0.49,16.8,5.98,3.32,0.06,1,4.03,0.16,10,88,83,14,174,12.8,1176,7.3,84,9.74,21.3,11.7,2.66,0.95,0.71,0.12,2,1.7
Convergent margin,Dacite,64.25,0.63,16.51,4.71,2.67,0.05,1.98,4.26,0.2,NA,77,83,11.33,40,35.39,694,14.35,160,17.53,38.81,19.33,4.03,1.25,1.23,0.19,3.99,3.7
Convergent margin,Andesite,55.65,1.08,17.81,7.54,4.12,0.13,2.15,3.93,0.17,16.8,222,84,24,34,42,765,16.2,109,14.6,31.9,16.8,3.5,1.08,1.16,0.17,2.85,3.11
Cont flood Basalt,Basalt,49.8,1.322,14.33,9.25,7.16,0.231,0.115,2.64,0.098,62,421.1,84.4,61.8,68.7,0.8,99.1,52,65.2,3.35,9.99,8.93,3.24,1.43,4.32,0.69,2.13,0.1
Archean craton,Basalt,47.21,0.92,9.85,8.3,14.14,0.25,0.26,1.09,0.18,32.51,128.4,84.46,79.52,262.43,14.85,17.03,16.65,40.64,4.87,10.55,6.89,2.07,0.82,1.84,0.28,NA,0.44
Convergent margin,Andesite,57.96,0.78,15.78,5.82,3.27,0.16,4.08,3.23,0.44,15,144,85,22,18,136,771,25,171,38.9,73.5,34.7,6.4,1.52,2.3,0.37,5,15.3
Intraplate,Dacite,65.06,0.63,14.94,3.31,2.45,0.04,4.7,2.38,0.25,25.62,83.7,86.2,26.85,37.3,2.96,309,13.81,90.62,8.27,18.48,12.06,3.04,1.35,1.16,0.16,2.46,1.25
Intraplate,Dacite,66.15,0.5,15.03,3.91,2.6,0.08,4.03,2.69,0.11,14.1,44.2,86.3,35.1,26.1,173,356,18.1,147,38.35,79.6,32.7,6.15,1.1,2.55,0.36,4.19,22.1
Archean craton,Dacite,65.25,0.76,14.41,0.52,6.3,0.1,2.32,0.31,0.34,9.6,88.77,86.95,14.91,41.33,42.39,27.3,19.89,232.2,21.97,54.98,33.44,7.15,1.092,2.04,0.307,6.1,3.2
Convergent margin,Andesite,52.42,0.81,17.19,9.98,5.1,0.13,1.77,2.7,0.25,NA,248,87,24.2,36.1,43.6,568,19.4,106,29.9,56,24.8,4.96,1.41,2.01,0.29,2.6,9.6
Convergent margin,Andesite,52.2,1.46,18.5,8.06,5.27,0.14,1.24,4.02,0.37,20.5,192,87,34,41,6,927,20,148,25.8,48.6,20,6.18,1.76,2,0.32,3.3,1.84
Cont flood Basalt,Andesite,53.94,1.16,17.07,7.63,5.14,0.14,1.09,3.46,0.28,19,163,88,41,34,15,558,17,157,18.1,40.1,NA,4.14,1.38,2.12,0.33,3.46,4.29
Intraplate,Dacite,65.76,0.56,15.82,5.03,2.27,0.07,1.96,4.38,0.21,12.1,90,88,13.5,20,32,754,10,86,12.7,25.8,13.5,2.99,0.844,0.85,0.12,2.6,2.37
Convergent margin,Andesite,53.83,0.54,16.61,11.08,5.48,0.18,0.43,1.72,0.1,42,326,88,38,34,6.1,240,15,25,1.44,3.6,3.48,1.26,0.45,1.42,0.24,0.75,0.13
Convergent margin,Dacite,63.38,0.6,16.13,6.09,3.7,0.07,1.14,4.58,0.2,22,110,89,31,341,8.2,440,14.3,73,7,15.9,10.1,2.88,1.09,1.55,0.23,1.6,1
Cont flood Basalt,Basalt,51.2,2.71,13.3,9.22,4.85,0.22,1.14,3.13,0.42,31,363,89,48,49,21,359,33,237,26.6,59,33,7.7,2.35,3.36,0.48,5.3,2.5
Convergent margin,Dacite,63,0.87,14.06,3.09,2.88,0.09,2.4,4.08,0.15,17,140,89,15.7,16,32.6,492.2,14,125.2,19.7,41.9,23,4.2,1.2,1.24,0.2,3.8,3.9
Convergent margin,Dacite,63.95,0.61,16.05,5.05,3.17,0.08,2.21,3.88,0.18,13,110,90,15,182,69,492,14.5,131,19.1,38.6,18.1,4.41,1.18,1.53,0.23,3.2,8.7
Intraplate,Dacite,68.5,0.65,14.3,1.74,2.34,0.07,3.8,0.98,0.17,11.2,129,90.7,10.8,53,115,78.9,28.5,170,326,69.8,33.2,6.25,1.32,3.53,0.55,4.7,9.27
Intraplate,Basalt,49.6,1.88,13.4,9.68,6.89,0.24,0.85,2.22,0.15,49,396,93,53,51,30,170,44,114,4.4,13.2,12.3,4.45,1.52,4.83,0.73,3,1.4
Rift,Basalt,48.29,2.13,16.76,10.54,5.9,0.175,1.42,3.4,0.5,26.1,291,93,35.8,66,42.2,673,29.3,136,39.8,76.5,33,6.15,2.01,2.38,0.37,3.32,5.88
Archean craton,Andesite,55.95,0.68,15.02,6.56,3.45,0.09,1.47,3.38,0.19,10,105,93,19,66,26,557,13,131,25.61,56.67,27.99,4.96,1.36,0.96,0.15,3,2.74
Convergent margin,Andesite,53.33,0.74,17.29,9.86,5.41,0.14,1.77,2.6,0.23,NA,250,94,24.7,34.6,43.4,590,19.7,102,30.8,58.1,27.3,5.04,1.37,1.96,0.321,2.63,9.5
Archean craton,Dacite,66.23,0.54,15.95,2.66,2.54,0.11,1.64,3.87,0.09,13,112,95,19,50,56,414,11.51,129,43.4,82.61,31.96,4.56,1.36,1.15,0.18,3.22,8.23
Intraplate,Rhyolite,73.77,0.39,12.3,0.84,0.17,0.06,4.88,2.9,0.07,9.2,7.1,96,3.2,6.4,171,104,48,290,78.96,149.92,67.15,11.95,1.65,4.57,0.78,8.33,20.53
Archean craton,Basalt,51.47,1.15,15.46,9.84,6.84,0.19,0.21,2.47,0.19,34.34,121.06,96.16,35.78,93.96,2.68,108.82,27.94,60.6,5.7,13.93,10.4,3.2,1.2,3.12,0.5,NA,0.57
Archean craton,Dacite,65.4,0.68,15.8,4.83,2.18,0.05,1.34,4.04,0.498,NA,67.9,96.4,13,58.4,38.7,421,5.91,124,20.7,45.7,20.8,2.35,0.88,0.673,0.065,2.52,1.81
Intraplate,Dacite,61.45,0.57,16.97,2.15,2.38,0.07,5.94,3.45,0.12,10.8,66,96.4,10.5,26.6,417,409,25.2,219.4,34.8,67,29.26,5.23,1.23,2.01,0.31,5.03,13.69
Convergent margin,Andesite,56.61,0.75,17.69,6.9,4.7,0.12,1.63,3.83,0.16,19,139,97,49.7,57,43.9,577,15,118,13.9,30.4,15.6,3.14,0.97,1.48,0.23,3.07,6
Intraplate,Andesite,51,0.94,20.09,8.83,5.12,0.18,0.59,4.4,0.15,33.46,230.9,97.74,75.72,30.56,9.62,573.83,14.5,37.3,4.21,10.84,7.88,2.29,0.74,1.56,0.22,1.3,0.63
Convergent margin,Andesite,53.94,0.49,15.37,11.38,6.39,0.18,0.39,1.56,0.08,44,308,98,37,28,5.2,210,14,22,1.28,2.99,2.95,0.97,0.38,1.04,0.17,0.62,0.128
Archean craton,Basalt,52.32,1.15,13.54,10.99,6.31,0.23,0.17,1.92,0.12,38,255,98,52,54,3,111,29.8,91,5.18,14.02,10.21,3.34,0.572,3.36,0.48,2.62,0.56
Cont flood Basalt,Basalt,48.9,2.04,14.7,11.69,6.31,0.21,0.32,2.23,0.2,30.8,364,98,46.2,48,0.9,267.4,25.6,139.5,14.4,33.9,21.28,5.16,1.8,2.2,0.3,3.6,1.8
Cont flood Basalt,Basalt,48.67,1.82,13.74,11.42,7.02,0.19,0.13,2.05,0.14,29.2,365,98,37.7,105,2,193,28,87,7.34,18.5,12.7,3.66,1.42,2.27,0.34,2.6,0.64
Convergent margin,Andesite,53.97,0.92,17.22,8.87,4.21,0.23,1.34,3.37,0.27,30.1,235,99,27,25,33,308,23.6,123,11.6,26.6,15.3,4.15,1.19,2.47,0.36,3.12,3.23
Cont flood Basalt,Basalt,48.61,2.904,13.26,10.75,5.76,0.22,0.601,2.71,0.356,35.8,412.2,101.5,42.6,63.2,11.2,249.6,45.7,206.3,22.35,49.66,28.37,6.86,2.31,4.03,0.61,5.33,2.2
Cont flood Basalt,Basalt,49.5,1.89,14.3,10.78,6.2,0.2,0.35,2.65,0.19,29.9,347,102,55.9,80,1.2,393.9,24.4,131.8,13.4,31.7,19.8,4.9,1.7,2.1,0.3,3.3,1.7
Convergent margin,Dacite,59.49,1.43,16.06,5.09,3.54,0.07,3.52,3.18,0.41,14.4,NA,102,15,12,112,715,21,247,63.3,125.8,55.2,9.14,1.82,1.59,0.219,5.63,16.2
Convergent margin,Andesite,52.21,1.32,16.62,9.59,5.33,0.17,0.78,3.13,0.28,35.2,282,104,31.9,47,18.7,426,26.4,119,10.5,27,16.7,4.35,1.27,2.77,0.4,2.9,2
Archean craton,Dacite,63.89,0.7,14.86,3.95,3.82,0.12,1.62,2.93,0.08,19,132,105,40,56,64,106,23,151,21.49,43.27,17.45,3.8,0.84,2.1,0.32,2.7,6.64
Convergent margin,Dacite,67.56,0.55,15.54,3.06,0.97,0.15,2.71,3.71,0.13,7,37,105,9,18,84.5,159.1,16,178,18.9,42.4,17.5,3.95,0.91,2.14,0.28,4.7,6.7
Convergent margin,Andesite,52.84,1.32,16.4,8.97,5.49,0.18,0.86,3.12,0.29,34.6,274,105,32.4,54,20.2,396.6,28.1,120,12.9,31.4,19.14,4.7,1.4,2.8,0.42,2.85,2.13
Intraplate,Andesite,62.71,0.71,15.44,4.7,2.84,0.14,2.05,2.54,0.18,17.8,120.5,105.1,24.5,37.8,156,352,21.9,195,30.5,63.1,29.35,5.16,1.17,2.05,0.32,4.57,5.36
Convergent margin,Andesite,53.35,0.74,17.57,9.98,5.26,0.13,1.73,2.72,0.25,NA,272,106,25,36.7,42,622,20.9,113,32.5,60.1,27,5.34,1.46,2.13,0.313,2.77,10.6
Backarc basin,Basalt,54.09,0.57,15.8,9.8,5.75,0.14,0.78,2.85,0.16,32.32,275,107,28.52,43,11.17,441,14.89,45.23,4.76,11.05,7.61,2.08,0.69,1.43,0.22,1.27,0.27
Convergent margin,Andesite,52.74,1.03,18.2,10.22,5.07,0.15,0.58,3.08,0.19,33.5,246,108,28.7,42,12.2,474,19.9,84,6.68,18.2,12,3.06,1.07,1.91,0.3,2.1,1
Backarc basin,Basalt,54.6,1.55,15.7,9.12,5.2,0.16,0.47,3.17,0.24,31.6,261,108,29.2,48,8.75,216,29,98.7,7.3,18.28,12.04,3.54,1.255,2.78,0.43,2.48,0.85
Convergent margin,Rhyolite,69.1,0.335,13.9,2.32,0.66,0.077,3.46,3.96,0.102,13.76090303,186.8825007,110,46.67020148,49.30475693,61.31516588,842.8730512,12.87221571,226.3473054,42.03592814,83.76136364,37.82395517,6.439864153,1.587006961,1.135227273,0.171849989,5.509994289,4.274764836
Convergent margin,Basalt,50.01,0.69,18.21,11.29,5.72,0.187,0.17,1.77,0.072,37,272,110,NA,27,6.8,281,13,28,2.61,6.65,4.65,1.42,0.59,1.25,0.18,0.75,0.38
Backarc basin,Basalt,51.4,1.9,15.13,10.48,5.66,0.15,0.17,3.37,0.19,35.7,297,110,35.3,95,1.8,136,37.1,117.5,4.11,12.81,11.88,3.88,1.39,3.59,0.55,2.92,0.188
Cont flood Basalt,Andesite,53.72,1.83,14.08,7.21,3.53,0.16,0.66,5.29,0.21,29,199,110,39,93,10,126,29,146,13.32,32.12,18.5,4.56,1.33,2.69,0.37,3.64,1.9
Convergent margin,Andesite,63.24,0.82,16.06,5.1,3.55,0.09,1.78,4.4,0.29,11.4,89,110,15.5,54,38,466,18,187,21.6,38,17,4.13,1.29,1.6,0.24,4.3,3.5
Convergent margin,Andesite,59.61,0.87,15.87,6.97,4.36,0.15,1.24,3.4,0.21,21.6,164,111,23,45,34.5,226,27.9,149,11.68,26.07,14.69,3.71,1.21,2.81,0.45,3.41,3.1
Convergent margin,Andesite,60.39,1.11,15.89,5.49,3.89,0.1,1.92,4.33,0.35,12.4,93,111,17.2,54,51,490,22,210,23.7,50,22,4.89,1.41,1.94,0.26,4.6,3.3
Convergent margin,Dacite,63.5,0.6,16,5.5,3.6,0.1,1.7,4.3,0.1,13.9,94,111,NA,73,22.8,882,12.91,100,12.4,24.43,13.31,3.14,1.05,1.12,0.18,2.93,2.02
Convergent margin,Basalt,50.01,0.83,17.91,10.35,6.54,0.182,0.15,2.14,0.091,33,265,112,NA,44,3.2,313,16,33,2.86,7.16,5.94,1.88,0.77,1.59,0.25,1.08,0.38
Cont flood Basalt,Basalt,49.1,1.78,14.9,11.5,5.8,0.23,0.15,2.42,0.18,39,354,112,40,74,4.8,210,32,104,7.4,18.8,14,3.97,1.41,2.9,0.41,2.6,0.87
Cont flood Basalt,Basalt,49.9,1.86,14.1,11.33,6.2,0.19,0.32,1.68,0.19,28.9,335,113,54.5,74,1,500.7,24.3,133.6,13.8,32.3,20.2,4.9,1.7,2.1,0.3,3.5,1.7
Intraplate,Basalt,47.7,1.31,13.76,9.28,5.79,0.24,0.43,2.64,0.34,39.6,450,113,68.7,123,4,203,26.8,105,16.53,36.6,21.08,5.59,1.52,3,0.47,2.81,1.61
Archean craton,Rhyolite,80.9,0.25,10.2,0.74,0.9,0.02,2.8,1.8,0.08,5,36,113,12,37,51,292,NA,77,8.82,18.06,7.31,1.37,0.48,0.67,0.09,2.2,4.69
Intraplate,Basalt,48.06,1.29,13.71,8.45,5.38,0.24,0.34,2.73,0.33,34.8,276,113,56.5,131,3.3,162,31.8,111,17.61,39.96,18.38,4.96,1.45,3.39,0.47,2.82,1.62
Cont flood Basalt,Basalt,48.61,1.75,12.82,10.54,6.96,0.21,0.5,2.76,0.14,42.9,367,114,53,79,8,227,27,89,7.72,19.1,13.5,3.98,1.47,2.35,0.342,2.7,0.57
Archean craton,Basalt,55.74,2.44,11.86,8.2,3.08,0.22,0.08,3.45,0.44,51,496,115,47,49,2,125,30.79,77,5.42,15.67,11.57,3.89,1.35,3.42,0.58,2.68,0.514
Backarc basin,Basalt,51.3,0.93,15.93,11.29,6.71,0.17,0.17,2.16,0.08,34,376,116,35,55,2.8,119,23.1,47.2,1.91,6.13,6.17,2.24,0.86,2.65,0.44,1.41,0.08
Convergent margin,Rhyolite,73.5,0.15,12.7,0.66,0.13,0.057,4.95,3.64,0.023,24.8,192,116,20.7,32,92.7,400.8,30,191,23.5,50.8,24.4,6.28,1.16,2.88,0.38,5.2,10
Intraplate,Basalt,50.67,1.1,13.01,9.16,6.75,0.2,0.3,2.66,0.11,40.9,350,119,68.3,81.8,4,152,25.2,71.2,5.94,14.75,9.88,2.87,0.93,2.68,0.36,1.82,0.65
Convergent margin,Basalt,49.84,0.81,18.36,9.89,6.72,0.181,0.15,2.06,0.087,37,277,121,NA,52,4,301,15,33,2.75,7.19,5.82,1.77,0.72,1.59,0.24,0.93,0.37
Intraplate,Dacite,63.68,0.62,15.39,3.53,2.39,0.05,3.79,3.93,0.19,10.63,66.91,121.1,12.35,85.12,144.6,464,13.75,168.2,36.24,69.23,33.46,5.5,1.42,1.08,0.16,4.09,11.69
Cont flood Basalt,Basalt,49.16,1.78,14,11.85,6.39,0.19,0.14,1.86,0.15,57.98740004,471.6815067,122,51.45166517,67.20632874,2.54,215,35.21087611,126.4617795,8.44,20.5,21,5.77,2.054514913,3.420416484,0.53,3.04,0.68
Convergent margin,Basalt,52.08,1.42,16.7,8.49,6.51,0.16,0.78,3.35,0.37,26.3,NA,122,32,51,17,433,30,148,12.7,57,19,4.9,1.7,3,0.4,3.5,1.3
Intraplate,Dacite,63.62,0.61,15.1,3.63,2.55,0.06,3.65,3.92,0.19,10.56,69.43,122.3,13.74,84.45,136.4,495.3,12.88,174.2,29.93,57.31,24.93,4.26,1.05,1.03,0.16,4.16,11.97
Archean craton,Dacite,63.94,0.62,16.4,5.13,4.2,0.1,2.43,1.22,0.16,12.4,119,125,20,52,85,390,11,101,18.2,35,19,2.96,0.94,0.76,0,2.2,2.5
Intraplate,Dacite,64.86,0.56,15.26,3.54,2.93,0.05,3.37,3.78,0.18,10.22748573,75.57849819,126.882407,27,82.49132244,120,491,13,161.3644949,28.54360698,49.96787275,23.10842941,4.357774893,1.099056796,1.079102117,0.151608843,4.445847091,12.10361041
Cont flood Basalt,Basalt,49.7,1.66,14,11.6,6.7,0.22,0.12,2.17,0.12,39,408,127,45,73,1.7,194,30,102,7.4,16.5,12.2,3.89,1.26,2.76,0.41,2.3,1.03
Intraplate,Basalt,50.65,1.1,19.37,9.18,4.71,0.13,0.09,2.91,0.68,20.4,191,127,31.7,94.3,1.16,712,16,82,7.42,18.03,11.9,3,1.11,1.38,0.21,2.04,0.68
Intraplate,Dacite,60.3,0.69,17.6,1.11,2.02,0.09,4.47,0.51,0.45,19.3,186,128,14,45,146,47,31.5,120,38.4,86.4,37.7,8.56,1.78,3.22,0.47,2.9,12.4
Archean craton,Basalt,51.35,2.09,13.49,5.66,4.33,0.24,0.04,4.35,0.21,44,258,131,40,32,1,120,46.29,152,8.23,23.99,17.38,5.8,1.63,5.56,0.87,4.75,0.749
Intraplate,Dacite,65.15,0.56,16.32,4.15,1.41,0.03,1.74,4.2,0.17,11.1,104,132,15,42,26,436,19.4,93,35.58,73,32.53,6.37,1.57,1.75,0.27,2.85,6.01
Archean craton,Basalt,50.93,1.58,14.66,8.51,3.09,0.22,0.55,4.75,0.15,40.48,279,134,54,44,13.24,555,15.79,134,17.7,40.14,22.27,4.82,1.35,1.5,0.27,3.07,1.85
Convergent margin,Andesite,53.7,1.04,17.5,8.34,6.39,0.12,1.27,3.87,0.35,19.3,170,134,30.9,127,14,1195,19,157,21,40,22,4.6,1.24,1.6,0.25,3.1,2.4
Intraplate,Dacite,64.07,0.44,17.33,4.28,3.12,0.07,3.23,3.35,0.23,8.5,76,139,9.3,68.8,123.6,790.4,21.7,154.7,53.73,103.57,40.98,6.7,1.51,1.82,0.29,3.8,23.61
Archean craton,Basalt,46.59,0.83,15.39,11.34,9.94,0.26,0.34,2.14,0.13,36.75,122.8,139.1,58.36,189.43,14.2,60.23,12.97,46.96,2.47,6.69,5.23,1.59,0.74,1.47,0.23,NA,0.2
Archean craton,Basalt,51.3,1.42,14.1,8.54,4.91,0.23,0.23,3.78,0.24,44.3,390,140,60,90,6,68,34,77,4.3,10.3,10.4,3.4,1.19,3.6,0.55,2.3,0.3
Backarc basin,Basalt,50.59,1.76,15.03,10.68,6.11,NA,0.45,4.03,0.19,41.7,271,141,41.2,44,3.4,215,33.4,131.3,6.62,17.63,13.56,4.01,1.46,3.12,0.48,3.05,0.43
Convergent margin,Dacite,67.78,1.05,14.89,4.74,0.79,0.04,1.81,2.9,0.16,19.52,5.89,141.54,11.64,35.7,30.26,284.98,18.94,110.77,16.26,31.39,22.47,4.83,1.11,1.81,0.27,3.28,4.18
Rift,Andesite,60.54,0.87,13.02,1.97,10.82,0.07,2.21,1.04,0.25,20,196,143,38.4,61,36,174,16,77,9.3,21,12.7,2.94,0.87,1.5,0.26,2.6,1.5
Cont flood Basalt,Basalt,48.33,1.8,13.59,11.42,6.97,0.19,0.14,2.03,0.15,39.2,365,143,50,107,2,190,27,96,6.95,17.8,12.9,3.72,1.41,2.32,0.32,2.8,0.66
Intraplate,Dacite,63.83,0.74,14.24,4.96,4.17,0.08,2.9,2.04,0.43,NA,84.9,143,14.6,109,74.1,1523,14.3,196,40.7,80.2,31.7,5.29,1.46,1.76,0.24,4.49,14.2
Archean craton,Basalt,54.19,0.87,18.31,6.22,4.01,0.21,3.33,1.61,0.21,20,161,143,38,117,50,180,12.06,131,17.96,40.83,18.04,3.48,1.14,1.28,0.19,3.35,3.82
Convergent margin,Dacite,62.46,0.47,15.43,6.49,3.22,0.09,0.28,3.3,0.18,19,146,144,18.6,49,5.5,600.4,8.9,103,16.1,29.5,13.6,2.5,0.85,0.88,0.14,2.6,2.7
Archean craton,Andesite,55.78,0.83,14.27,6.57,4.65,0.42,1.88,3.4,0.11,36,221,146,107,99,59,99,21,103,13.5,31,17.31,4.22,0.86,1.9,0.29,2.81,5.37
